보정 분할 2,500건 (학습 분할에서 분리, 평가 분할 미사용)
신뢰도 산출 대상 (조항, 시험) 쌍: 1,782

조항별 τ 보정 (목표 정밀도 0.30)
조항                 후보     기저        τ    τ_low    발행n     정밀도   lift  상태
QT_ECG            562  0.240    1.499    1.499    283   0.300   1.25x  보정 완료
CYP_DDI           491  0.145    2.278    1.906     76   0.303   2.09x  보정 완료
HEPATIC             9  0.222        —        —      —       —      —  **발행 봉인** 목표 정밀도 0.30 를 만족하는 임계가 없음 (최소 발행 20건 조
RENAL               0  0.000        —        —      —       —      —  **발행 봉인** 보정 분할에 후보 없음
HEMATO              0  0.000        —        —      —       —      —  **발행 봉인** 보정 분할에 후보 없음
FOOD_EFFECT       395  0.058        —        —      —       —      —  **발행 봉인** 목표 정밀도 0.30 를 만족하는 임계가 없음 (최소 발행 20건 조
GI_IRRITATION     325  0.120        —        —      —       —      —  **발행 봉인** 목표 정밀도 0.30 를 만족하는 임계가 없음 (최소 발행 20건 조
SEIZURE             0  0.000        —        —      —       —      —  **발행 봉인** 보정 분할에 후보 없음
GASTRIC_PH          0  0.000        —        —      —       —      —  **발행 봉인** 보정 분할에 후보 없음
THYROID             0  0.000        —        —      —       —      —  **발행 봉인** 보정 분할에 후보 없음

결과 저장: /home/user/daker/prototype/results/tau_calibration.json
